,loss,accuracy,val_loss,val_accuracy
0,0.24585659801959991,0.9450564980506897,0.1673402339220047,0.9509006142616272
1,0.09638310223817825,0.9652957916259766,0.06585408002138138,0.9753974080085754
2,0.08048425614833832,0.9694126844406128,0.06295590102672577,0.9770697951316833
3,0.07559412717819214,0.9710736274719238,0.08493132889270782,0.9676907062530518
4,0.07316219061613083,0.971762478351593,0.07169901579618454,0.9729411005973816
5,0.07218988239765167,0.9718726277351379,0.0629962831735611,0.976414680480957
6,0.07187822461128235,0.9720978736877441,0.06967467069625854,0.9731662273406982
7,0.06982669979333878,0.9728545546531677,0.06972590833902359,0.9736911058425903
8,0.06928908824920654,0.9729507565498352,0.05923020467162132,0.9782578945159912
9,0.06816674768924713,0.9732765555381775,0.05007080361247063,0.9804999232292175
10,0.07015956938266754,0.9727034568786621,0.05026153475046158,0.980443000793457
11,0.06753762811422348,0.9734975099563599,0.05501095578074455,0.9797281622886658
12,0.06617187708616257,0.9739880561828613,0.053355779498815536,0.9795600175857544
13,0.06455684453248978,0.9746228456497192,0.05380363389849663,0.9788167476654053
14,0.06577719748020172,0.9739406108856201,0.05799073725938797,0.9791897535324097
15,0.06666567176580429,0.9737048149108887,0.0638757199048996,0.9749213457107544
16,0.06455159187316895,0.9744236469268799,0.06162344664335251,0.9760755896568298
17,0.06092703342437744,0.9756284952163696,0.0651443675160408,0.9762342572212219
18,0.060213807970285416,0.9758274555206299,0.0650331899523735,0.9764838218688965
19,0.061446670442819595,0.9754657745361328,0.07438544183969498,0.9765815138816833
20,0.06064116954803467,0.975656270980835,0.06135808676481247,0.9783419966697693
21,0.058668363839387894,0.976386308670044,0.07384420931339264,0.9750338792800903
22,0.05632318928837776,0.9771239161491394,0.06601361185312271,0.977160632610321
23,0.05628879740834236,0.977206826210022,0.060837555676698685,0.9774848222732544
24,0.05505456402897835,0.9775882959365845,0.05890030413866043,0.9802422523498535
25,0.05258116498589516,0.9784063696861267,0.06599688529968262,0.9774454832077026
26,0.052780140191316605,0.9782766699790955,0.09020375460386276,0.9723415970802307
27,0.05244535207748413,0.978491485118866,0.06705982238054276,0.9790934324264526
